dataset,model,MAE,RMSE,WAPE,sMAPE,WAPE_CI_low,WAPE_CI_high,folds,flows,rows,step_minutes,lookback_steps,horizon_steps,constant_flows
Abilene,SCALE-TM neural ensemble,4183.09912109375,12176.32421875,15.192658106486002,28.460229237874348,14.508125332126545,15.941612161723318,3,144,2880,5,72,12,0
Abilene,SCALE-TM no-WRTCN ensemble,4193.978190104167,12189.625,15.234642028808594,28.566574732462566,14.57041281944482,15.98758136024754,3,144,2880,5,72,12,0
Abilene,Uniform candidate ensemble,4216.163736979167,12381.859049479166,15.306478182474772,28.481739679972332,14.646784327673076,16.152020311981023,3,144,2880,5,72,12,0
Abilene,N-BEATS-Small,4259.026204427083,12251.027994791666,15.47400188446045,28.916680018107098,14.745416067844886,16.27886948636693,3,144,2880,5,72,12,0
Abilene,N-HiTS-Small,4276.12744140625,12044.6318359375,15.530018170674643,29.18957455952962,14.91242932699263,16.22809470186494,3,144,2880,5,72,12,0
Abilene,NLinear,4308.084798177083,12395.607096354166,15.64038054148356,29.368261337280273,14.979818733419878,16.469640951554084,3,144,2880,5,72,12,0
Abilene,DLinear,4315.519694010417,12247.2314453125,15.6737699508667,29.64463742574056,14.984830780667538,16.617673477172303,3,144,2880,5,72,12,0
Abilene,PatchLinear,4379.855305989583,12314.87890625,15.907137235005697,29.726804733276367,15.183491723748189,16.668746460304266,3,144,2880,5,72,12,0
Abilene,PatchTST-Small,4417.067545572917,13022.335286458334,16.039562861124676,30.171717325846355,15.29599626719064,16.919697993249617,3,144,2880,5,72,12,0
Abilene,All-flow WRTCN,4468.068684895833,13045.0576171875,16.20206133524577,29.231263478597004,15.47716737568102,17.016358152690433,3,144,2880,5,72,12,0
Abilene,Damped persistence,4580.6689453125,13854.0537109375,16.625288327534992,29.810298919677734,15.821150956528248,17.62092069597908,3,144,2880,5,72,12,0
Abilene,TimesNet-Small,4581.907389322917,13592.777994791666,16.626832326253254,30.20123799641927,15.848660286571167,17.523363799826484,3,144,2880,5,72,12,0
Abilene,Persistence,4605.281901041667,13805.95703125,16.712241808573406,29.743687947591145,15.877300466505526,17.679297995967552,3,144,2880,5,72,12,0
Abilene,GraphAttention-Small,4717.554850260417,13765.931315104166,17.122992833455402,32.17513656616211,16.297380124096716,18.139365683511596,3,144,2880,5,72,12,0
Abilene,Seasonal naive,8024.087565104167,20847.906901041668,29.288305918375652,46.14939626057943,27.82310223350414,30.8513477332632,3,144,2880,5,72,12,0
CERNET,SCALE-TM neural ensemble,16989.634114583332,76857.26302083333,14.622690518697103,44.89933395385742,11.865751904452102,18.594824303750784,3,196,2880,5,72,12,43
CERNET,SCALE-TM no-WRTCN ensemble,17025.8896484375,79268.44010416667,14.651625951131185,45.7525380452474,11.413802176831844,19.438141838014484,3,196,2880,5,72,12,43
CERNET,TimesNet-Small,17561.962239583332,78348.20052083333,15.110098520914713,46.501522064208984,11.997938233046625,19.181665914522956,3,196,2880,5,72,12,43
CERNET,Persistence,17897.189453125,84911.02083333333,15.39881451924642,30.94973373413086,11.784873406608964,20.52060253942678,3,196,2880,5,72,12,43
CERNET,Damped persistence,17911.309895833332,86179.28645833333,15.417428970336914,32.81626828511556,12.109062541657567,20.38254604437816,3,196,2880,5,72,12,43
CERNET,N-BEATS-Small,18030.630208333332,80063.04427083333,15.51066525777181,47.597412109375,12.256669048154913,19.8935663009227,3,196,2880,5,72,12,43
CERNET,PatchTST-Small,18086.927083333332,81872.30208333333,15.56358559926351,46.930060068766274,12.302330662816729,20.314700647314282,3,196,2880,5,72,12,43
CERNET,Uniform candidate ensemble,18123.922526041668,82342.1328125,15.592305183410645,45.545448303222656,12.501589592807369,20.1535313431884,3,196,2880,5,72,12,43
CERNET,N-HiTS-Small,18175.81640625,82518.54427083333,15.635353724161783,46.295623779296875,12.538903287849402,20.075557819181203,3,196,2880,5,72,12,43
CERNET,All-flow WRTCN,18871.883463541668,85147.96614583333,16.25579293568929,45.56185531616211,13.53373370107898,19.98456321364053,3,196,2880,5,72,12,43
CERNET,GraphAttention-Small,18986.154947916668,84100.73958333333,16.33864688873291,50.62343724568685,13.266460019095591,20.944898329579527,3,196,2880,5,72,12,43
CERNET,Seasonal naive,21518.538411458332,72150.02473958333,18.48846499125163,45.2556266784668,16.404426273342185,21.67983729840761,3,196,2880,5,72,12,43
CERNET,NLinear,22087.368489583332,109661.27604166667,18.994360605875652,40.838751475016274,13.864466162479063,27.116649459074438,3,196,2880,5,72,12,43
CERNET,PatchLinear,22398.295572916668,99283.58072916667,19.258400599161785,48.69979985555013,15.704510663237835,25.092211056306848,3,196,2880,5,72,12,43
CERNET,DLinear,22418.388020833332,99248.41666666667,19.27394676208496,48.9423459370931,15.591307300527548,24.753157265476904,3,196,2880,5,72,12,43
GEANT,N-BEATS-Small,8408.420003255209,159672.38313802084,38.675483067830406,72.17101287841797,21.9926788792266,50.51500050860309,3,529,2880,15,24,4,16
GEANT,N-HiTS-Small,8473.391682942709,162742.7724609375,39.014391581217446,72.05744934082031,17.441762357092404,56.82734255436109,3,529,2880,15,24,4,16
GEANT,Seasonal naive,11434.580403645834,218580.310546875,53.7113405863444,70.94390614827473,28.66203754646773,93.54214088006181,3,529,2880,15,24,4,16
GEANT,NLinear,12339.666748046875,192345.83528645834,54.880303700764976,57.77469126383463,20.912134908685573,118.186553923423,3,529,2880,15,24,4,16
GEANT,PatchLinear,12934.778727213541,190321.28971354166,59.288150787353516,78.57581583658855,28.247051071655193,131.53804365114237,3,529,2880,15,24,4,16
GEANT,DLinear,12936.047607421875,190331.14388020834,59.29468027750651,78.5524393717448,28.364167647042496,128.12368268138798,3,529,2880,15,24,4,16
GEANT,Uniform candidate ensemble,14670.94921875,236997.37858072916,64.27888679504395,73.01781463623047,17.69735836737717,190.30697825389893,3,529,2880,15,24,4,16
GEANT,SCALE-TM no-WRTCN ensemble,16802.306070963543,281641.47444661456,72.28060690561931,69.62929026285808,15.2319188884801,244.3838321550429,3,529,2880,15,24,4,16
GEANT,Damped persistence,17107.0263671875,290229.70458984375,73.38225205739339,52.412071228027344,14.416759375594731,251.07510695796512,3,529,2880,15,24,4,16
GEANT,SCALE-TM neural ensemble,18043.091227213543,305526.1061197917,77.33161322275798,68.7215805053711,14.927297031584585,268.3385471766009,3,529,2880,15,24,4,16
GEANT,Persistence,19574.392578125,334097.1569010417,83.45719114939372,52.939552307128906,14.657964082203543,241.2138735101975,3,529,2880,15,24,4,16
GEANT,TimesNet-Small,19701.384114583332,329069.7184244792,84.85193316141765,74.0542704264323,17.348356884877024,291.83698419843813,3,529,2880,15,24,4,16
GEANT,All-flow WRTCN,19842.196940104168,331651.1399739583,85.2947006225586,72.30919901529948,17.535092007892683,286.5005404404837,3,529,2880,15,24,4,16
GEANT,PatchTST-Small,20061.621175130207,333071.1171875,85.9948247273763,73.48226420084636,18.019019672024317,299.58927750489875,3,529,2880,15,24,4,16
GEANT,GraphAttention-Small,22338.092366536457,340696.7692057292,100.35333824157715,88.24749755859375,30.44592124341666,229.24170749345112,3,529,2880,15,24,4,16
